t,n_valid,speed_relerr,tau_corr,tau_sign_agree,tau_bulk_mean_relerr,ramp_confounded
7.86124,149209,5.11831e-05,0.999282,0.597129,-0.000663986,1
7.9208,149209,5.06039e-05,0.998516,0.588584,-0.000718216,1
7.98035,149209,2.78839e-05,0.999776,0.587987,-0.000109951,1
8.03991,149218,5.0758e-05,0.99996,0.654351,-0.00476735,1
8.09946,149216,2.33015e-05,0.999793,0.630777,-0.000769277,1
8.15902,149218,4.38581e-05,0.999684,0.609022,-0.000605322,1
8.21857,149214,2.91596e-05,0.998363,0.616504,-0.000247931,1
8.27813,149216,3.65726e-05,0.999939,0.614653,-0.000158103,1
8.33768,149223,4.89923e-05,0.999947,0.643634,-0.00185746,1
8.39724,149219,1.79668e-05,0.999875,0.614071,0.000108804,1
8.45679,149210,4.38398e-05,0.999601,0.60317,-3.26024e-05,1
8.51635,149190,4.4022e-05,0.991617,0.628809,0.000731523,1
8.5759,149209,1.90752e-05,0.999798,0.628307,-0.000509438,1
8.63545,149216,3.67218e-05,0.999954,0.620148,-0.00182526,1
8.69501,149211,3.13603e-05,0.999963,0.629123,-0.000648304,1
8.75456,149216,3.02392e-05,0.999671,0.609231,-0.000808317,1
8.81412,149190,3.54577e-05,0.998805,0.607534,0.00161371,1
8.87367,149213,2.45159e-05,0.999623,0.620449,0.000460077,1
8.93323,149218,4.27793e-05,0.999913,0.639782,-0.00227458,1
8.99278,149215,2.76206e-05,0.99989,0.628844,-0.00100616,1
9.05234,149216,3.60293e-05,0.999829,0.622963,-0.000798587,1
9.11189,149191,4.3236e-05,0.991457,0.613844,-0.00166038,1
9.17145,149219,3.02105e-05,0.999735,0.617314,-0.000243427,1
9.231,149213,3.38995e-05,0.999968,0.613271,-0.0013732,1
9.29056,149211,3.48116e-05,0.999835,0.630617,-0.00031691,1
9.35011,149210,2.27599e-05,0.999855,0.627981,-0.0008539,1
9.40967,149239,3.65808e-05,0.999096,0.598041,0.000494451,1
9.46922,149207,2.50409e-05,0.999666,0.608765,-0.000146432,1
9.52878,149214,3.36915e-05,0.999964,0.602765,0.000168227,1
9.58833,149222,3.85992e-05,0.999862,0.627106,-0.000106847,1
9.64789,149216,2.2128e-05,0.999918,0.625375,-0.000526153,1
9.70744,149190,4.11984e-05,0.999074,0.652369,0.00064206,1
9.767,149211,3.48838e-05,0.999556,0.609211,-0.000580122,1
9.82655,149216,2.9606e-05,0.999956,0.611979,-0.000874895,1
9.88611,149215,3.48428e-05,0.999952,0.643977,-0.00682504,1
9.94566,149208,2.59878e-05,0.999794,0.616904,-0.00199519,1
10.0052,149212,2.37946e-05,0.999726,0.634889,-7.68192e-05,1
